Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Konena Agrahara,398931,395259,335826,162443,159894,102850,0.991,0.85,0.484,0.984,57016,0.357,0.258,15286571,8.17,146.2,859142
Konanakunte,288519,286472,217972,158009,154765,101021,0.993,0.761,0.725,0.979,53684,0.347,0.35,12839437,6.87,122.45,720459
Sunkenahalli,266613,264632,207272,151687,148854,100920,0.993,0.783,0.732,0.981,47886,0.322,0.379,12127955,6.41,114.38,686467
Kadu Malleshwara,234374,232026,177602,142192,139524,100728,0.99,0.765,0.801,0.981,38757,0.278,0.43,12911553,7.26,127.05,743775
Subhash Nagar,312008,308910,215494,163133,160185,96108,0.99,0.698,0.757,0.982,64030,0.4,0.308,15244495,8.63,153.3,865902
Radhakrishna Temple Ward,235760,234113,181242,142398,138698,94980,0.993,0.774,0.786,0.974,43684,0.315,0.403,13095032,7.4,130.61,749821
Amrutahalli,290243,288253,221378,144297,141512,90988,0.993,0.768,0.652,0.981,50503,0.357,0.314,14484899,8.49,149.11,840939
Nagapura,224785,222670,157606,134768,132094,90419,0.991,0.708,0.855,0.98,41635,0.315,0.402,11369271,6.8,120.42,647417
Lingarajapura,247617,246121,206967,134855,133228,89020,0.994,0.841,0.652,0.988,44176,0.332,0.359,11030167,6.22,115.48,611475
Devasandra,328961,326957,269416,153505,151453,88876,0.994,0.824,0.57,0.987,62507,0.413,0.27,14425616,7.7,139.96,793244
Arakere,297635,295178,236337,134482,131785,88063,0.992,0.801,0.569,0.98,43700,0.332,0.296,12750606,7.82,139.77,726830
Bilekhalli,341292,337884,279585,138524,135758,86611,0.99,0.827,0.495,0.98,49113,0.362,0.254,12355272,8.19,144.87,696746
